,fi,en,,,NOTES – use \n for newline,max length
item_stonestone,Tannerkivi,Tannerkivi,,,,
itemdesc_stonestone,Se näyttää siltä kuin se voisi uhmata aionit.,It looks like it could stand the test of aeons.,,,,
log_dark_moon_altar_extra,Harhaoppinen!,Heretic!,,,,
logdesc_dark_moon_altar_extra,Kuinka kehtaat tehdä tämän!,How dare you do this!,,,,
log_dark_moon_altar,”Minun verta ...”,”From my blood...”,,,,
logdesc_dark_moon_altar,minun verta ... minun verta ... minun verta ... minun verta ...,from my blood... from my blood... from my blood... from my blood...,,,,
mat_steelrusted,ruostunut teräs,rusted steel,,,,
stat_streaks,raitoja:,Streaks:,,,,
streamingevent_areadamage_player,Ystävällinen Yhteydenotto Vahinko,Friendly Contact Damage,,,,
streamingeventdesc_areadamage_player,"Saat kentän, joka käsittelee vahingoittaa lähellä olevia vihollisia jonkin aikaa.",You gain a field that deals damage to nearby enemies for a time.,,,,
streamingevent_areadamage_enemy,Enemy yhteyttä Vahinko,Enemy Contact Damage,,,,
streamingeventdesc_areadamage_enemy,"Viholliset lähellä saat kenttiä jotka käsittelevät vahinkoa sinulle, jos saat lähelle.",Enemies near you gain fields that deal damage to you if you get close.,,,,
perk_worm_smaller_holes,Pelätään Worms,Feared by Worms,,,,
perkdesc_worm_smaller_holes,"Matoja paeta teitä, ja mato ja Lukki vihollisia enää tuhota maasto taas tunkeutuminen.","Worms run away from you, and worm and lukki enemies no longer destroy terrain while burrowing.",,,,
animal_necrobot,Tuonelankone,Tuonelankone,,,,
animal_necrobot_super,Marraskone,Marraskone,,,,
animal_minipit,Pienkätyri,Pienkätyri,,,,
actiondesc_heal_bullet,Maaginen pultti rejuvenative valtuudet,A magical bolt with rejuvenative powers,,,,
perkdesc_no_more_shuffle,Useimmat wands on ei sekoitus. Wands kannat mukanasi muuttuu ei-shufflers liikaa.,Most of the wands will be non shuffling. The wands you carry with you turn into non-shufflers too.,,,,
progress_killed_by,Tappoi: $0,Killed by: $0,,,,
animal_scavenger_glue,Liimahiisi,Liimahiisi,,,,
mat_glue,Liima,Glue,,,,
item_sunseed,Auringonsiemen,Auringonsiemen,,,,
itemdesc_sunseed,"Se hehkuu, täynnä lupauksia.","It glows, full of promise.",,,,
animal_boss_ghost,Unohdettu,Unohdettu,,,,
animal_boss_ghost_polyp,Häive,Häive,,,,
action_remove_bounce,Poista Bounce,Remove Bounce,,,,
actiondesc_remove_bounce,Normaalisti pomppiva ammuksen lakkaa näin,A normally bouncy projectile stops doing so,,,,
biome_ghost_secret,unohdettu luola,Forgotten cave,,,,
hint_endingmcguffin_enter_newgameplus,Paina $0 päästäksesi New Game $1,Press $0 to enter New Game$1,,,,
biome_winter_caves,luminen Chasm,Snowy Chasm,,,,
item_mcguffin_33,Amuletti Yendor,Amulet of Yendor,,,,
itemdesc_mcguffin_33,"Sen sanotaan olevan valtuuksia, jotka kuolevaiset tuskin ymmärtää, saati käyttää","It is said to possess powers which mere mortals can scarcely comprehend, let alone utilize",,,,
action_glue_shot,liimaa Ball,Glue Ball,,,,
actiondesc_glue_shot,Ammuksen että räjähtää tahmea sekaisin,A projectile that explodes into a sticky mess,,,,
action_petrify,Petrify,Petrify,,,,
actiondesc_petrify_a,Kääntyy haavoittunut vihollinen kiveksi,Turns a wounded enemy into stone,,,,
actiondesc_petrify_b,Kriittinen osuma saa vihollisen kiveksi,A critical hit turns an enemy into stone,,,,
actiondesc_petrify_c,Kriittinen osuma kääntyy haavoittunut vihollinen kiveksi,A critical hit turns a wounded enemy into stone,,,,
perk_gamble,Gamble (One-off),Gamble (One-off),,,,
perkdesc_gamble,Saat kaksi satunnaista etuisuuksia.,You gain two random perks.,,,,
item_wand_riimusauva,Riimusauva,Riimusauva,,,,
item_wand_arpaluu,Arpaluu,Arpaluu,,,,
item_wand_varpuluuta,Varpuluuta,Varpuluuta,,,,
animal_surge,Sähikäinen,Sähikäinen,,,,
animal_spiderbot,Rautalukki,Rautalukki,,,,
animal_piranha,Kyrmyniska,Kyrmyniska,,,,
animal_fish_giga,Syväolento,Syväolento,,,,
action_worm_shot_big,Giga Worm Launcher,Giga Worm Launcher,,,,
actiondesc_worm_shot_big,Kutsu massiivinen mato aiheuttaa tuhoa hetkeksi!,Summons a massive worm to cause havoc for a moment!,,,,
action_fan,ammuksen Fan,Projectile Fan,,,,
actiondesc_fan,Työntää saapuvan ammukset pois kapea kartio muodostumisen,Pushes incoming projectiles away in a narrow cone formation,,,,
perk_fungal_disease,sieni tauti,Fungal Disease,,,,
perkdesc_fungal_disease,"Kun lähellä vaara, sinua versoa sieni kasvaimet.","When near danger, you sprout fungal growths.",,,,
perk_lukki_minion,Lukki Minion,Lukki Minion,,,,
perkdesc_lukki_minion,Haasteen mukana Lukki juoksupoika apuasi.,Summons a lukki minion to your help.,,,,
perk_angry_levitation,Rage polttoaineenaan Levitaatio,Rage-fueled Levitation,,,,
perkdesc_angry_levitation,Tappaminen vihollinen saa sinut täydentää joitakin levitaatio valtaa.,Killing an enemy makes you replenish some of your levitation power.,,,,
perk_destructive_spells,tuhoava magic-,Destructive Magic,,,,
perkdesc_destructive_spells,Loitsuja tuhota maahan tehokkaammin.,Your spells destroy ground more efficiently.,,,,
perk_mold,sienipesäkkeen,Fungal Colony,,,,
perkdesc_mold,Slime lähelläsi spontaanisti muuttuu sienen olentoja.,Slime near you spontaneously turns into fungal creatures.,,,,
perk_cordyceps,Cordyceps,Cordyceps,,,,
perkdesc_cordyceps,Sieni olentoja mädin siirtäminen ruumiita vihollisia tappoivat sinut.,Fungal creatures spawn from the corpses of enemies killed by you.,,,,
action_pollen,Siitepöly,Pollen,,,,
actiondesc_pollen,"Pieni, kelluva ammuksen että kodeissa kohti lähistöllä olentoja","A small, floating projectile that homes towards nearby creatures",,,,
action_homing_short,Lyhyen kantaman Homing,Short-range Homing,,,,
actiondesc_homing_short,"Ammus lentää kohti tavoitteita, kun lähellä niitä",A projectile flies towards targets when near them,,,,
animal_fungus_giga,Kärpässieni,Kärpässieni,,,,
animal_fungus_nest,Rihmasto,Rihmasto,,,,
log_new_step,Muuntaminen tapahtuu!,A transformation happens!,,,,
logdesc_new_step,Jotain on muuttunut ...,Something has changed...,,,,
item_seed_b,Auringonmuna,Auringonmuna,,,,
itemdesc_seed_b,Se hehkuu korkean intensiteetin nyt ...,It glows with high intensity now...,,,,
item_seed_c,Aurinkokivi,Aurinkokivi,,,,
itemdesc_seed_c,Ydin Auringon kiteytyi.,"The essence of the Sun, crystallized.",,,,
item_seed_d,Tähdenpoikanen,Tähdenpoikanen,,,,
itemdesc_seed_d,"Se ei silti täysikasvuisia, vaan johtaa lämmön.",It's still not fully grown but radiates heat.,,,,
item_seed_e,Uusi Aurinko,Uusi Aurinko,,,,
itemdesc_seed_e,Se on tehty,It is done,,,,
material_mold,muotti,Mold,,,,
material_cloth,Kangas,Cloth,,,,
biome_robobase,Voimalaitos,Power plant,,,,
biome_fun,umpeenkasvanut luola,Overgrown cavern,,,,
item_book_music_b,Research Notes,Research Notes,,,,
itemdesc_book_music_b,”Yksi järvessä \nONE puussa \ yksikään saarella \ yksikään auringon alla”,”One in the lake\nOne in the tree\nOne on the island\nOne under the sun”,,,,
item_book_music,Alkemistien Notebook,Alchemist's Notebook,,,,
itemdesc_book_music,”Yksi alla kuuntelee laulua ... \n \nG D # G FI \n \ne C B G # F”,”The one below listens to my songs...\n \nG D# G E A\n \nE C B G# F”,,,,
animal_sentry,Tarkkailija,Tarkkailija,,,,
animal_neutralizer,Pysäyttäjä,Pysäyttäjä,,,,
animal_hidden,Vakoilija,Vakoilija,,,,
animal_soldier,Teloittaja,Teloittaja,,,,
item_book_s_a,Huomautuksia Grand Alchemy,Notes on Grand Alchemy,,,,
itemdesc_book_s_a,"”Niistä suuri alkemisia pyrkimykset on joitakin, jotka, \nwhile ole yhtä suuri työ kuitenkin on kunnioitettu suuresti \nJos deific potence he istuttaa myös jokaista onnistuu \nin hyödyntämällä niiden teho. \n \n- Yksi Olen keskustelemaan puhelut ja siemen suuri lupaus, piilotettu syvälle maaperään tällä maapallolla ...”","”Among the great Alchemical endeavours there are some that,\nwhile not equal to the Great Work, nonetheless are revered greatly\nfor the deific potence they instill to whomsoever succeeds\nin harnessing their Power.\n\nThe One I am to discuss calls for a Seed of great promise, hidden deep within the Soil of this Earth...”",,,,
itemdesc_book_s_b,"”... Tuo uinuvan Seed elämään antamalla sen liota auringonvalolta, harjalle menneisyyden sivilisaatioiden ...”","”...Bring the slumbering Seed to life by letting it soak in the rays of the Sun, on the pinnacle of past civilizations...”",,,,
itemdesc_book_s_c,”... Alkemiaprosessissa vaatii suurta Fire and Heat; Tätä varten \nlay kiven Fiery Maan ja tuoda esiin sen muuntaminen suurella maaginen Heat of Destruction ...”,"”...The Alchemical process requires great Fire and Heat; for this purpose,\nlay the Stone in Fiery Earth and bring forth its transformation with great magical Heat of Destruction...”",,,,
itemdesc_book_s_d,"”... Kun olet valmis, se ylläpitävät elämää; tätä varten, sen luominen vaatii huomattavan määrän \nof elämänvoimaa. Anna Egg tuhoaa sata vihollisesi ja juo niiden verta ...”","”...Once finished, It will sustain life; to this end, its Creation asks for a substantial amount\nof Life Force. Let the Egg engulf One Hundred of your Foes and drink their Blood...”",,,,
itemdesc_book_s_e,"”... Viimeisenä vaiheena, kyllästää youngling kanssa kiteytynyt esanssit \nota neljän elementin. Mutta varokaa, sillä youngling on altis korruptiokäytännöille vaikutuksen ...”","”...As a final step, imbue the Youngling with the crystallized Essences of\nthe Four Elements. But beware, for the Youngling is susceptible to corruptive influence...”",,,,
item_book_music_c,Book of Key,Book of the Key,,,,
itemdesc_book_music_c,"”Kun avain on kuunnellut teitä, tuo se kotiin ... \ Ei Pääsivu taivaalla, kuin näkymätön vaiheet ... \ yksikään kotiin alamaailman alla meret magman ...”","”Once the Key has listened to you, bring it home...\nOne home in the sky, beyond the invisible steps...\nOne home in the underworld, below seas of magma...”",,,,
item_book_robot,Musings seikkailija,Musings of an Adventurer,,,,
itemdesc_book_robot,”Tämä kone on erilainen kuin mikään olen nähnyt ennenkin. Oliko Hiisi luoda sen? Vai oliko se aina täällä?”,”This machinery is unlike any I've seen before. Did the Hiisi create it? Or was it always here?”,,,,
item_d12,12-sivuinen Die,12-sided Die,,,,
itemdesc_d12,"Enemmän puolin, enemmän potentiaalisia palkintoja!","More sides, more potential rewards!",,,,
action_knife_ring,Rengas Veitset,Ring of Knives,,,,
actiondesc_knife_ring,Kutistuva rengas 8 veitset on kutsuttu,A shrinking ring of 8 knives is summoned,,,,
action_iceball,Iceball,Iceball,,,,
actiondesc_iceball,Maaginen pallo jäädytettyjä palo,A magical ball of frozen fire,,,,
item_d12_greed,12-puolinen Ahneus Die,12-sided Greed Die,,,,
itemdesc_d12_greed,Parempi ettei!,Better not!,,,,
item_book_moon,Kirja taivaankappaleita,Book of Celestial Bodies,,,,
itemdesc_book_moon,"”Kuten kaikki muukin, jokainen taivaankappale on myös vastine. \nJos jokainen kultainen tähti on tumma arvoitus, ja jokaiselle hopeinen kuu on ontto varjo.”","”As with everything else, every celestial body also has its counterpart.\nFor every golden star is a dark enigma, and for every silvery moon there is a hollow shadow.”",,,,
perk_minion_powerup,tehokas Minions,Powerful Minions,,,,
perkdesc_minion_powerup,Tahansa hännystelijät poiki avuksesi kasvaneen vahinkoa lähdön ja terveydelle.,Any minions spawned to your aid have increased damage output and health.,,,,
item_seed_f,Pimeä Aurinko,Pimeä Aurinko,,,,
itemdesc_seed_f,Jotain meni pieleen...!,Something went wrong...!,,,,
logdesc_new_step_b,Kaikki ei ole täällä ...,Everything is not right here...,,,,
perk_map,tilanhahmotuskykyä,Spatial Awareness,,,,
perkdesc_map,"Jos pysähdy hetkeksi, voi aistia sijaintisi suhteessa Mountain.","If you stop for a moment, you can sense your location relative to the Mountain.",,,,
biome_underwater,uponnut luola,Sunken cavern,,,,
log_collision_1,Se on mennyt,It is gone,,,,
logdesc_collision_1,Vanhat ovat syöneet uusien ottaa oman paikkansa,The old are devoured for the new to take their place,,,,
log_collision_2,"Kuten ylhäällä, niin alhaalla ...","As Above, So Below...",,,,
logdesc_collision_2,Uuden maailman sydämessä on tasapaino,The new heart of the world is at balance,,,,
log_collision_3,"Kuten ylhäällä, niin alhaalla, mutta ...","As Above, So Below, but...",,,,
logdesc_collision_3,Uuden maailman sydämessä kasvaa korruptiosta sen keskellä,The new heart of the world grows with corruption at its center,,,,
item_goldnugget_200000,Golden Idol (200000),Golden Idol (200000),,,,
item_bloodmoney_200000,Verinen Golden Idol (200000),Bloody golden Idol (200000),,,,
NEWTEXTSINCE20210216,#VALUE!,,,,,
action_tntbox,Summon Räjähtävä Box,Summon Explosive Box,,,,
actiondesc_tntbox,Kutsu laatikko räjähtäviä aineita,Summons a box of explosive matter,,,,
action_tntbox_big,Summon Suuri Räjähtävä Box,Summon Large Explosive Box,,,,
actiondesc_tntbox_big,Haaste suuri laatikko räjähtäviä aineita,Summons a large box of explosive matter,,,,
streamingevent_all_access_teleport,Vapaa-for-all-portaalit,Free-for-all Portals,,,,
streamingeventdesc_all_access_teleport,Olentoja lähellä saat mahdollisuuden päästä Holy Mountain portaaleja.,Creatures near you gain the ability to enter the Holy Mountain portals.,,,,
item_book_hint,Book of Guidance,Book of Guidance,,,,
itemdesc_book_hint,"”Yksi veljistäni karkasi paetakseen meidän predicatement ... \nNe tunsi käsityksemme tästä maailmasta oli kielletty. \nNe kätki jotain, tässä huoneessa, mutta ... \n ... I puuttuu kyky todella nähdä, mitä on täällä!”","”One of my brethren ran away in order to escape our predicatement...\nThey felt our understanding of this world was to be forbidden.\nThey hid something here, in this room, but...\n...I lack the ability to truly see what is here!”",,,,
item_gold_orb_greed,Cruel Orb,Cruel Orb,,,,
itemdesc_gold_orb_greed,Se näyttää valua verta ...,It seems to trickle with blood...,,,,
status_weaken_combined,heikentynyt,Weakened,,,,
statusdesc_weaken_combined,Teidän vastuksia ja suojaava etuisuuksia ovat poissa käytöstä tilapäisesti.,Your resistances and protective perks are disabled temporarily.,,,,
damage_sun,Valo,Valo,,,,
item_musicstone,Kuulokivi,Kuulokivi,,,,
itemdesc_musicstone,Tämä artefakti käsitellään liitetiedossa muotoinen kaiverruksia ja sykkii tasaiseen tahtiin. \nIS että ääni kaukainen musiikkia?,This artefact is covered in note-shaped engravings and is pulsing at a steady pace.\nIs that the sound of distant music?,,,,
damage_darksun,Pimeys,Pimeys,,,,
animal_fungus_tiny,Myrkkynääpikkä,Myrkkynääpikkä,,,,
perkdesc_mega_beam_stone,"Saat artefakti, jonka avulla voit soittaa taivaalliset raivoa.",You gain an artefact that allows you to call the celestial rage.,,,,
animal_fungus_giga,Huhtasieni,Huhtasieni,,,,
animal_fungus_big,Nuijamalikka,Nuijamalikka,,,,
animal_fungus_tiny_perk,Sappitatti,Sappitatti,,,,
reward_sun,Hyvänlaatuinen auringonpaistetta!,Benign sunshine!,,,,
action_sun,Kutsua Sun,Summon A Sun,,,,
actiondesc_sun,Luo valtavan voimakas kokonaisuus; Voidaan valaa vain kerran,Creates an immensely powerful entity; Can be cast only once,,,,
action_darksun,Kutsumaan Dark Sunin,Summon A Dark Sun,,,,
actiondesc_darksun,Luo valtavan voimakas kokonaisuus; Voidaan valaa vain kerran,Creates an immensely powerful entity; Can be cast only once,,,,
achievement_excavationsite,Saavutettu Hiili Kiviä,Reached Coal Pits,,,,
achievementdesc_excavationsite,Saavutettu Hiili Kiviä,Reached Coal Pits,,,,
achievement_snowcave,Saavutettu Snowy syvyydet,Reached Snowy Depths,,,,
achievementdesc_snowcave,Saavutettu Snowy syvyydet,Reached Snowy Depths,,,,
achievement_snowcastle,Saavutettu Hiisi Base,Reached Hiisi Base,,,,
achievementdesc_snowcastle,Saavutettu Hiisi Base,Reached Hiisi Base,,,,
achievement_rainforest,Saavutettu Maanalainen Jungle,Reached Underground Jungle,,,,
achievementdesc_rainforest,Saavutettu Maanalainen Jungle,Reached Underground Jungle,,,,
achievement_vault,Saavutettu Vault,Reached The Vault,,,,
achievementdesc_vault,Saavutettu Vault,Reached The Vault,,,,
achievement_crypt,Saavutti Temple of Art,Reached Temple of the Art,,,,
achievementdesc_crypt,Saavutti Temple of Art,Reached Temple of the Art,,,,
achievement_victory,Voitto,Victory,,,,
achievementdesc_victory,Voitto,Victory,,,,
achievement_orbs,Kokosi kaiken tiedon,Gathered All The Knowledge,,,,
achievementdesc_orbs,Kokosi kaiken tiedon,Gathered All The Knowledge,,,,
achievement_progress_enemies,100% vihollinen Progress,100% Enemy Progress,,,,
achievementdesc_progress_enemies,100% vihollinen Progress,100% Enemy Progress,,,,
achievement_progress_spells,100% Sana Progress,100% Spell Progress,,,,
achievementdesc_progress_spells,100% Sana Progress,100% Spell Progress,,,,
achievement_progress_perks,100% Perk Progress,100% Perk Progress,,,,
achievementdesc_progress_perks,100% Perk Progress,100% Perk Progress,,,,
achievement_impressed,Jumalat ovat vaikuttuneita,The Gods Are Impressed,,,,
achievementdesc_impressed,Jumalat ovat vaikuttuneita,The Gods Are Impressed,,,,
achievement_afraid,Jumalten pelkäävät,The Gods Are Afraid,,,,
achievementdesc_afraid,Jumalten pelkäävät,The Gods Are Afraid,,,,
achievement_enraged,Jumalat Enraged,The Gods Are Enraged,,,,
achievementdesc_enraged,Jumalat Enraged,The Gods Are Enraged,,,,
